sz,mean,median,mean (ms),median (ms)
360,177636671,177342650,177.636671,177.34265
361,177022833,176650650,177.022833,176.65065
362,177875938,178257250,177.875938,178.25725
363,177716495,177626350,177.716495,177.62635
364,176507672,176094950,176.507672,176.09495
365,177785812,177948400,177.785812,177.9484
366,177449673,177339400,177.449673,177.3394
367,177035249,176352450,177.035249,176.35245
368,176920688,176242600,176.920688,176.2426
369,177394856,177021700,177.394856,177.0217
370,175868643,174969200,175.868643,174.9692
371,177647998,177421400,177.647998,177.4214
372,177475018,177321950,177.475018,177.32195
373,177399049,177307600,177.399049,177.3076
374,177503928,177121100,177.503928,177.1211
375,177522973,177337450,177.522973,177.33745
376,175014556,174918350,175.014556,174.91835
377,177170633,176926850,177.170633,176.92685
378,177317805,176948400,177.317805,176.9484
379,177117432,177162400,177.117432,177.1624
380,176788301,176270900,176.788301,176.2709
381,176869911,176531700,176.869911,176.5317
382,177453294,177260900,177.453294,177.2609
383,176929166,176575800,176.929166,176.5758
384,176096241,175511100,176.096241,175.5111
385,176695396,176158900,176.695396,176.1589
386,177264452,176939950,177.264452,176.93995
387,175816133,175025300,175.816133,175.0253
388,177446891,177212450,177.446891,177.21245
389,176940079,176762700,176.940079,176.7627
390,177454961,177193350,177.454961,177.19335
391,177206575,177026500,177.206575,177.0265
392,177139798,176874400,177.139798,176.8744
393,177145657,176944150,177.145657,176.94415
394,175556504,175009750,175.556504,175.00975
395,177158140,176587850,177.15814,176.58785
396,177264217,176950400,177.264217,176.9504
397,177177028,176882500,177.177028,176.8825
398,176097118,175208350,176.097118,175.20835
399,176736104,176184250,176.736104,176.18425
400,177111548,176694950,177.111548,176.69495
401,177373775,176972250,177.373775,176.97225
402,177406660,177048450,177.40666,177.04845
403,176951694,176601700,176.951694,176.6017
404,176852633,176601350,176.852633,176.60135
405,176858058,176451900,176.858058,176.4519
406,177044536,176643350,177.044536,176.64335
407,176827438,176512400,176.827438,176.5124
408,177528110,177572750,177.52811,177.57275
409,176761042,176463900,176.761042,176.4639
410,176586435,176127700,176.586435,176.1277
411,177258808,176946800,177.258808,176.9468
412,177179834,176960200,177.179834,176.9602
413,177372533,176961200,177.372533,176.9612
414,175848947,175211350,175.848947,175.21135
415,176964678,176261500,176.964678,176.2615
416,176962287,176890700,176.962287,176.8907
417,177655794,177588950,177.655794,177.58895
418,176305974,175807400,176.305974,175.8074
419,177048190,176967000,177.04819,176.967
420,177171208,176891950,177.171208,176.89195
421,177390065,177239650,177.390065,177.23965
422,177217775,177125800,177.217775,177.1258
423,177297578,176887850,177.297578,176.88785
424,177213567,176915350,177.213567,176.91535
425,177544005,177280650,177.544005,177.28065
426,176823345,176240300,176.823345,176.2403
427,177357863,177175250,177.357863,177.17525
