sz,mean,median
151,10.0392804,10.00987
152,10.036068,10.00931
153,10.0785294,10.09803
154,10.057879,10.03663
155,10.114729800000001,10.12484
156,10.0377004,10.00777
157,10.0736852,10.07288
158,10.1118884,10.12624
159,10.1016074,10.1215
160,10.0193744,10.00342
161,10.1015666,10.12375
162,10.1056714,10.12018
163,10.03607,10.00967
164,10.024501,10.00303
165,10.061426599999999,10.04313
166,10.044461199999999,10.01594
167,10.1165766,10.12857
168,10.0339946,10.00726
169,10.0640148,10.05471
170,10.1095366,10.12224
171,10.109598,10.12419
172,10.0271534,10.00493
173,10.080070800000001,10.09722
174,10.103728199999999,10.12413
175,10.013598400000001,10.00953
176,10.0310284,10.01725
177,10.1029076,10.12413
178,10.0482444,10.02361
179,10.097936599999999,10.11402
180,10.0320858,10.00349
181,10.098647,10.12005
182,10.0742588,10.07074
183,10.1059164,10.12115
184,10.0230754,10.00532
185,10.0831104,10.10086
186,10.1097134,10.12304
187,10.0246428,10.00236
188,10.033296,10.00639
189,10.080174,10.09439
190,10.041994800000001,10.01081
191,10.110422400000001,10.12176
192,10.0448804,10.02234
193,10.0865848,10.10867
194,10.115304400000001,10.12586
195,12.66235325,12.6439125
196,13.83940025,13.824925
197,13.890961,13.899025
198,13.85767025,13.8374625
199,13.845942,13.830325
200,13.85098325,13.8374625
201,13.891683,13.9024125
202,13.85919025,13.836325
203,13.8577755,13.8385
204,13.86119825,13.8359
205,13.892119,13.9011625
206,13.85840475,13.8392125
207,13.844197,13.8280125
208,13.86639975,13.8535125
209,13.88301325,13.8892125
210,13.853313,13.8302
211,13.8494655,13.8319
212,13.85829425,13.833075
213,13.8943375,13.9073
214,13.8594015,13.8362125
215,13.84141025,13.827725
216,13.85259625,13.8411625
217,13.85560425,13.8370125
218,13.8585135,13.8299375
219,13.84351775,13.825475
220,13.85607125,13.8328
221,13.891668,13.9061375
222,13.8536175,13.8325
223,13.85082525,13.8307125
224,13.855468,13.840025
225,13.8870555,13.8933875
226,13.8532505,13.828975
227,13.828869,13.82655
228,13.83135025,13.8317625
229,13.83639425,13.8276
230,13.83234125,13.8270625
231,13.83024525,13.827175
232,13.82614875,13.822875
233,13.833948,13.8291125
234,13.83177625,13.829775
235,13.824954,13.821175
236,13.82463775,13.822675
237,13.83218775,13.8224375
238,13.822118,13.8202125
239,13.865521,13.87295
240,13.82644975,13.825825
241,13.84254425,13.8289625
242,13.85763075,13.841225
243,13.82579825,13.8223625
244,13.840468,13.83345
245,13.8460505,13.830125
246,13.827655,13.8262875
247,13.82393925,13.8227
248,13.82534825,13.8223375
249,13.846768,13.8303625
250,13.82898825,13.8264625
251,13.82545125,13.8238625
252,13.82274025,13.823
253,13.849336,13.8310625
254,13.8280505,13.8276375
255,13.82285475,13.8223625
256,13.823316,13.8236
